word,noun,position,range,index
(มา - VERB),(พระอาทิตย์ - NOUN),left,2,17
(ผ่าน - VERB),(พระอาทิตย์ - NOUN),left,3,16
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,20
(*แตกต่าง - VERB),(พระอาทิตย์ - NOUN),right,2,21
(มาก - VERB),(คน - NOUN),right,2,2
(แออัด - ADJ),(คน - NOUN),right,4,4
(ดึง - VERB),(คน - NOUN),left,1,13
(พยายาม - VERB),(คน - NOUN),left,2,12
(บ้า - VERB),(คน - NOUN),left,4,10
(ผ่าน - VERB),(คน - NOUN),right,2,16
(มา - VERB),(คน - NOUN),right,3,17
(ติดตาม - VERB),(คุณ - NOUN),left,3,19
(ผิด - VERB),(คุณ - NOUN),right,1,23
(เปลี่ยน - VERB),(สถานที่ - NOUN),left,2,9
(ดูแล - VERB),(สถานที่ - NOUN),left,4,7
(ให้ - VERB),(สถานที่ - NOUN),right,1,12
(ถูกต้อง - VERB),(สถานที่ - NOUN),right,2,13
(ติดตาม - VERB),(ของ - NOUN),left,2,19
(ผิด - VERB),(ของ - NOUN),right,2,23
(ถูกต้อง - VERB),(นัก - NOUN),left,2,13
(ให้ - VERB),(นัก - NOUN),left,3,12
(ท่องเที่ยว - VERB),(นัก - NOUN),right,1,16
(ติดตาม - VERB),(นัก - NOUN),right,4,19
(ท่องเที่ยว - VERB),(จำนวน - NOUN),left,1,16
(ถูกต้อง - VERB),(จำนวน - NOUN),left,4,13
(ติดตาม - VERB),(จำนวน - NOUN),right,2,19
(โปรด - ADJ),(ผู้ - NOUN),left,1,5
(ถูกต้อง - VERB),(ผู้ - NOUN),left,2,4
(ดูแล - VERB),(ผู้ - NOUN),right,1,7
(เปลี่ยน - VERB),(ผู้ - NOUN),right,3,9
