word,noun,position,range,index
(มา - VERB),(พระอาทิตย์ - NOUN),left,2,17
(ผ่าน - VERB),(พระอาทิตย์ - NOUN),left,3,16
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,20
(*แตกต่าง - VERB),(พระอาทิตย์ - NOUN),right,2,21
(ติดตาม - VERB),(คุณ - NOUN),left,3,19
(มาก - ADV),(คุณ - NOUN),left,4,18
(ผิด - VERB),(คุณ - NOUN),right,1,23
(เปลี่ยน - VERB),(สถานที่ - NOUN),left,2,9
(ดูแล - VERB),(สถานที่ - NOUN),left,4,7
(ให้ - VERB),(สถานที่ - NOUN),right,1,12
(ถูกต้อง - VERB),(สถานที่ - NOUN),right,2,13
(ติดตาม - VERB),(ของ - NOUN),left,2,19
(มาก - ADV),(ของ - NOUN),left,3,18
(ผิด - VERB),(ของ - NOUN),right,2,23
(ถูกต้อง - VERB),(นัก - NOUN),left,2,13
(ให้ - VERB),(นัก - NOUN),left,3,12
(ท่องเที่ยว - VERB),(นัก - NOUN),right,1,16
(มาก - ADV),(นัก - NOUN),right,3,18
(ติดตาม - VERB),(นัก - NOUN),right,4,19
