word,noun,position,range,index
(มี - VERB),(คลื่น - NOUN),left,1,2
(รวม - VERB),(ชายหาด - NOUN),left,3,2
(สนุก - VERB),(ชายหาด - NOUN),right,2,7
(สวย - VERB),(ชายหาด - NOUN),right,1,1
(ทำ - VERB),(ถนน - NOUN),left,3,3
(ให้ - VERB),(ถนน - NOUN),left,4,2
(ที่อยู่ - VERB),(ถนน - NOUN),right,3,9
(ทำ - VERB),(ชายหาด - NOUN),left,2,3
(ทำ - VERB),(กิจกรรม - NOUN),left,1,3
(คนใน - VERB),(กิจกรรม - NOUN),left,4,0
(คนใน - VERB),(ท้องถิ่น - NOUN),left,1,0
(ทำ - VERB),(ท้องถิ่น - NOUN),right,2,3
(พร้อม - VERB),(ชายหาด - NOUN),right,3,3
(มี - VERB),(น้ำ - NOUN),left,4,0
(มี - VERB),(กิจกรรม - NOUN),left,1,0
(มี - VERB),(กีฬา - NOUN),left,2,0
(ใช้ - VERB),(เวลา - NOUN),left,1,0
(น่าอัศจรรย์ - VERB),(เวลา - NOUN),right,4,5
(น่ารัก - VERB),(ชายหาด - NOUN),right,2,2
(สะอาด - VERB),(ชายหาด - NOUN),right,2,2
(ตอง - VERB),(ชายหาด - NOUN),right,3,4
(ตอง - VERB),(ป่า - NOUN),right,1,4
(ตอง - VERB),(ถนน - NOUN),left,3,4
(ตอง - VERB),(พื้นที่ - NOUN),right,4,4
(*ใส - VERB),(น้ำ - NOUN),right,1,1
(ได้รับ - VERB),(ชายหาด - NOUN),right,2,4
(ความ - VERB),(ชายหาด - NOUN),right,3,5
(นิยม - VERB),(ชายหาด - NOUN),right,4,6
(นิยม - VERB),(จังหวัด - NOUN),left,4,6
(คลื่น - VERB),(ป่า - NOUN),left,1,1
(ตก - VERB),(สถานที่ - NOUN),right,4,4
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,4
(น่าตื่นตาตื่นใจ - VERB),(พระอาทิตย์ - NOUN),right,3,6
(เยี่ยม - VERB),(สถานที่ - NOUN),left,2,1
(แออัด - VERB),(ชายหาด - NOUN),right,2,8
(แออัด - VERB),(จังหวัด - NOUN),left,3,8
(มี - VERB),(กิจกรรม - NOUN),left,1,0
(มี - VERB),(พารา - NOUN),left,4,0
(สนุก - VERB),(การ - NOUN),left,2,3
(ต้องการ - VERB),(การ - NOUN),left,3,2
(จะ - VERB),(การ - NOUN),right,3,8
(ได้รับ - VERB),(การ - NOUN),right,4,9
(ได้รับ - VERB),(พื้นที่ - NOUN),left,1,9
(จะ - VERB),(พื้นที่ - NOUN),left,2,8
(ทำ - VERB),(พื้นที่ - NOUN),right,2,12
(*สามารถ - VERB),(พื้นที่ - NOUN),right,2,3
(ว่ายน้ำ - VERB),(พื้นที่ - NOUN),right,3,4
(ได้ - VERB),(พื้นที่ - NOUN),right,4,5
(ที่นั่ง - VERB),(สถานที่ - NOUN),left,2,3
(จะ - VERB),(สถานที่ - NOUN),left,4,1
(ที่อยู่ - VERB),(ชายหาด - NOUN),left,2,1
(มี - VERB),(ชายหาด - NOUN),right,2,5
(พูด - VERB),(ชายหาด - NOUN),right,4,7
(มี - VERB),(การ - NOUN),left,1,5
(พูด - VERB),(การ - NOUN),right,1,7
(ที่อยู่ - VERB),(ร้านค้า - NOUN),right,1,1
(เสียค่าใช้จ่าย - VERB),(บาท - NOUN),left,3,4
(จะ - VERB),(บาท - NOUN),left,4,3
(ถึง - VERB),(สถานที่ - NOUN),left,1,6
(จะ - VERB),(สถานที่ - NOUN),left,2,5
(รวม - VERB),(ประสบการณ์ - NOUN),right,2,2
(รัก - VERB),(สถานที่ - NOUN),left,1,1
(ติด - VERB),(ชายหาด - NOUN),left,2,4
