word,noun,position,range,index
(ชม - VERB),(จุด - NOUN),right,1,1
(วิ - VERB),(จุด - NOUN),right,2,2
(ใช้ - VERB),(เวลา - NOUN),left,1,0
(ให้ - VERB),(นาที - NOUN),right,2,10
(เส้นทาง - VERB),(นาที - NOUN),right,3,11
(เล็ก - ADJ),(นาที - NOUN),right,4,12
(ชม - VERB),(จุด - NOUN),right,1,1
(วิว - VERB),(จุด - NOUN),right,2,2
(น่าตื่นตาตื่นใจ - VERB),(จุด - NOUN),right,4,4
(ชม - VERB),(พระอาทิตย์ - NOUN),left,1,1
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,3
(สวยงาม - ADJ),(พระอาทิตย์ - NOUN),right,3,5
(ชม - VERB),(จุด - NOUN),right,1,1
(ตก - VERB),(จุด - NOUN),right,3,3
(สวยงาม - ADJ),(ภูเก็ต - NOUN),left,2,5
(ตก - VERB),(ภูเก็ต - NOUN),left,4,3
(สวยงาม - ADJ),(ประเทศ - NOUN),left,3,5
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,8
(ดี - ADJ),(สถานที่ - NOUN),right,2,2
(ดี - ADJ),(การ - NOUN),left,3,2
(ตก - VERB),(การ - NOUN),right,3,8
(ชม - VERB),(จุด - NOUN),right,1,14
(วิว - VERB),(จุด - NOUN),right,2,15
(สวยงาม - ADJ),(จุด - NOUN),right,4,17
(ดี - ADJ),(ชม - NOUN),left,4,2
(ตก - VERB),(ชม - NOUN),right,2,8
(ตก - VERB),(ภูเก็ต - NOUN),left,3,8
(ชม - VERB),(ภูเก็ต - NOUN),right,3,14
(วิว - VERB),(ภูเก็ต - NOUN),right,4,15
(ตก - VERB),(จังหวัด - NOUN),left,2,8
(ชม - VERB),(จังหวัด - NOUN),right,4,14
(ครึ่งชั่วโมง - VERB),(พระอาทิตย์ - NOUN),left,3,4
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,8
(ดู - VERB),(พระอาทิตย์ - NOUN),right,3,10
(ดู - VERB),(ความ - NOUN),left,1,10
(ตก - VERB),(ความ - NOUN),left,3,8
(แท้จริง - ADJ),(ความ - NOUN),right,3,14
(ชม - VERB),(พระอาทิตย์ - NOUN),left,1,12
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,14
(หา - VERB),(สถานที่ - NOUN),left,1,4
(มากมาย - ADJ),(สถานที่ - NOUN),left,3,2
(ดี - ADJ),(สถานที่ - NOUN),right,2,7
(มี - VERB),(ฝูงชน - NOUN),left,1,0
(มากมาย - ADJ),(ฝูงชน - NOUN),right,1,2
(หา - VERB),(ฝูงชน - NOUN),right,3,4
(กิน - VERB),(จุด - NOUN),left,2,5
(ได้ - VERB),(อย่าง - NOUN),left,2,1
(กิน - VERB),(อย่าง - NOUN),right,2,5
(สงบ - VERB),(สถานที่ - NOUN),right,1,1
(เงียบสงบ - VERB),(สถานที่ - NOUN),right,3,3
(ตกดิน - VERB),(พระอาทิตย์ - NOUN),right,1,6
(เริ่มต้น - VERB),(พระอาทิตย์ - NOUN),right,2,7
(ค้นหา - VERB),(พระอาทิตย์ - NOUN),right,3,8
(ตกดิน - VERB),(สถานที่ - NOUN),right,4,6
(ค้นหา - VERB),(สถานที่ - NOUN),left,1,8
(เริ่มต้น - VERB),(สถานที่ - NOUN),left,2,7
(ตกดิน - VERB),(สถานที่ - NOUN),left,3,6
(สวยงาม - VERB),(สถานที่ - NOUN),right,2,11
(มี - VERB),(จุด - NOUN),left,1,0
(เดินป่า - VERB),(จุด - NOUN),right,1,2
(เล็ก - ADJ),(จุด - NOUN),right,2,3
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,7
(ยิ่งใหญ่ - ADJ),(พระอาทิตย์ - NOUN),right,3,9
(มี - VERB),(สถานที่ - NOUN),right,1,1
(มี - VERB),(การ - NOUN),left,3,1
(ตก - VERB),(การ - NOUN),right,3,7
(มี - VERB),(ชม - NOUN),left,4,1
(ตก - VERB),(ชม - NOUN),right,2,7
(ยิ่งใหญ่ - ADJ),(ชม - NOUN),right,4,9
(มี - VERB),(การ - NOUN),left,3,2
(เดินทาง - VERB),(การ - NOUN),right,1,6
(ดี - ADJ),(การ - NOUN),right,3,8
(มี - VERB),(ช่วง - NOUN),left,1,2
(เดินทาง - VERB),(ช่วง - NOUN),right,3,6
(มี - VERB),(ระยะ - NOUN),left,2,2
(เดินทาง - VERB),(ระยะ - NOUN),right,2,6
(ดี - ADJ),(ระยะ - NOUN),right,4,8
(ส่วนใหญ่ - VERB),(นักท่องเที่ยว - NOUN),right,1,1
(งดงาม - ADJ),(ช่วงเวลา - NOUN),left,4,7
(สงบสุข - VERB),(ช่วงเวลา - NOUN),right,2,13
(สงบสุข - VERB),(มหาสมุทร - NOUN),left,2,13
(ใช้ - VERB),(เวลา - NOUN),left,1,3
(สามารถ - VERB),(เวลา - NOUN),left,2,2
(แท้จริง - ADJ),(เวลา - NOUN),left,4,0
(แท้จริง - ADJ),(คุณ - NOUN),left,1,0
(สามารถ - VERB),(คุณ - NOUN),right,1,2
(ใช้ - VERB),(คุณ - NOUN),right,2,3
(ใช้ - VERB),(ชั่วโมง - NOUN),left,3,3
(สามารถ - VERB),(ชั่วโมง - NOUN),left,4,2
(เทพ - VERB),(พรหม - NOUN),right,1,2
(ให้ - VERB),(พรหม - NOUN),right,2,3
(ให้ - VERB),(ภาพ - NOUN),left,1,3
(เทพ - VERB),(ภาพ - NOUN),left,2,2
(สวยงาม - VERB),(ภาพ - NOUN),right,2,6
(เทพ - VERB),(แหลม - NOUN),right,2,2
(ให้ - VERB),(แหลม - NOUN),right,3,3
(สวยงาม - VERB),(อย่า - NOUN),left,2,6
(คลิก - VERB),(อย่า - NOUN),right,2,10
(สวย - ADJ),(อย่า - NOUN),right,4,12
(สวยงาม - VERB),(ลืม - NOUN),left,3,6
(คลิก - VERB),(ลืม - NOUN),right,1,10
(สวย - ADJ),(ลืม - NOUN),right,3,12
(น่าตื่นตาตื่นใจ - VERB),(มุมมอง - NOUN),right,2,2
(น่าตื่นตาตื่นใจ - VERB),(ทะเล - NOUN),left,2,2
(ต้องการ - VERB),(การ - NOUN),left,2,4
(ปีน - VERB),(การ - NOUN),right,1,7
(ให้ - VERB),(การ - NOUN),right,4,10
(ได้ - VERB),(ภาพ - NOUN),left,1,11
(ให้ - VERB),(ภาพ - NOUN),left,2,10
(ดี - ADJ),(ภาพ - NOUN),right,2,14
(ลื่น - ADJ),(เส้นทาง - NOUN),right,1,1
(ต้องการ - VERB),(เส้นทาง - NOUN),right,4,4
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,15
(ไป - VERB),(สถานที่ - NOUN),left,3,1
(ต้อง - VERB),(สถานที่ - NOUN),left,4,0
(ไป - VERB),(ชม - NOUN),left,2,1
(ต้อง - VERB),(ชม - NOUN),left,3,0
(สวยงาม - ADJ),(ทิวทัศน์ - NOUN),right,2,9
(สวยงาม - ADJ),(ช่วงเวลา - NOUN),left,4,9
(ตก - VERB),(ช่วงเวลา - NOUN),right,2,15
(คุ้มค่า - VERB),(การ - NOUN),left,2,5
(เยี่ยม - ADJ),(การ - NOUN),right,1,8
(เยี่ยม - ADJ),(ชม - NOUN),left,1,8
(คุ้มค่า - VERB),(ชม - NOUN),left,4,5
(เยี่ยม - ADJ),(คน - NOUN),left,4,8
(มองเห็น - VERB),(ทะเลอันดามัน - NOUN),left,1,1
(สามารถ - VERB),(ทะเลอันดามัน - NOUN),left,2,0
(คุ้มค่า - VERB),(ทะเลอันดามัน - NOUN),right,3,5
(มี - VERB),(ร้านค้า - NOUN),left,1,0
(เครื่องดื่ม - VERB),(ร้านค้า - NOUN),right,3,4
(เครื่องดื่ม - VERB),(อื่นๆ - NOUN),left,2,4
(ประกอบ - VERB),(บริเวณ - NOUN),right,3,3
(กะ - VERB),(นาที - NOUN),right,3,9
(ตะ - VERB),(นาที - NOUN),right,4,10
(กะ - VERB),(หาด - NOUN),right,1,9
(ตะ - VERB),(หาด - NOUN),right,2,10
(จุดสูงสุด - ADJ),(จุด - NOUN),left,2,18
(ไป - VERB),(จุด - NOUN),left,4,16
(สวยงาม - ADJ),(จุด - NOUN),right,2,22
(ไป - VERB),(นาที - NOUN),right,2,16
(จุดสูงสุด - ADJ),(นาที - NOUN),right,4,18
(รักษา - VERB),(สถานที่ - NOUN),left,1,12
(ให้ - VERB),(สถานที่ - NOUN),right,2,15
(นำ - VERB),(น้ำ - NOUN),left,1,2
(นำ - VERB),(ลืม - NOUN),right,1,2
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,13
(ดี - ADJ),(การ - NOUN),left,3,7
(ตก - VERB),(การ - NOUN),right,3,13
(บอก - VERB),(จุด - NOUN),left,4,1
(ดี - ADJ),(จุด - NOUN),right,2,7
(ดี - ADJ),(ชม - NOUN),left,4,7
(ตก - VERB),(ชม - NOUN),right,2,13
(แออัด - VERB),(สถานที่ - NOUN),right,2,2
(แออัด - VERB),(เวลา - NOUN),left,4,2
(เย็น - ADJ),(เวลา - NOUN),right,1,7
(จะ - VERB),(เวลา - NOUN),right,3,9
(พบ - VERB),(เวลา - NOUN),right,4,10
(หา - VERB),(ที่จอดรถ - NOUN),left,1,16
(จะ - VERB),(ที่จอดรถ - NOUN),left,2,15
(ยาก - ADJ),(ที่จอดรถ - NOUN),left,4,13
(ดู - VERB),(ดวงอาทิตย์ - NOUN),left,1,4
(อยู่ - VERB),(ดวงอาทิตย์ - NOUN),left,4,1
(อยู่ - VERB),(ผู้คน - NOUN),right,1,1
(ดู - VERB),(ผู้คน - NOUN),right,4,4
(สวยงาม - ADJ),(สถานที่ - NOUN),right,2,2
(สามารถ - VERB),(คุณ - NOUN),right,1,1
(เห็น - VERB),(คุณ - NOUN),right,2,2
(เห็น - VERB),(ทิวทัศน์ - NOUN),left,1,2
(สามารถ - VERB),(ทิวทัศน์ - NOUN),left,2,1
(สวยงาม - ADJ),(ทิวทัศน์ - NOUN),right,2,5
(สวยงาม - ADJ),(มหาสมุทร - NOUN),left,2,5
(สวยงาม - ADJ),(ชายหาด - NOUN),left,3,5
(จะ - VERB),(อย่า - NOUN),right,3,3
(ใช้ - VERB),(อย่า - NOUN),right,4,4
(จะ - VERB),(ลืม - NOUN),right,2,3
(ใช้ - VERB),(ลืม - NOUN),right,3,4
(กล้อง - VERB),(ลืม - NOUN),right,4,5
(ขนส่ง - VERB),(การ - NOUN),right,1,1
(กังหันลม - VERB),(จุด - NOUN),right,1,4
(กระดาษชำระ - VERB),(ภูเก็ต - NOUN),left,4,8
(คดเคี้ยว - VERB),(จุด - NOUN),left,3,4
(กังหันลม - VERB),(จุด - NOUN),right,1,8
(ทำ - VERB),(อย่าง - NOUN),left,3,27
(ใช้ - VERB),(ถนน - NOUN),left,1,1
(คดเคี้ยว - VERB),(ถนน - NOUN),right,2,4
(ดี - ADJ),(มุมมอง - NOUN),right,2,2
(ดี - ADJ),(จุด - NOUN),right,3,3
(ดี - ADJ),(ถ่ายภาพ - NOUN),right,2,3
(เดินทาง - VERB),(การ - NOUN),right,1,3
(ดี - ADJ),(การ - NOUN),right,3,5
(เดินทาง - VERB),(ช่วง - NOUN),right,3,3
(เดินทาง - VERB),(ระยะ - NOUN),right,2,3
(ดี - ADJ),(ระยะ - NOUN),right,4,5
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,1
(น่าตื่นตาตื่นใจ - VERB),(พระอาทิตย์ - NOUN),right,3,3
(ใช้ - VERB),(พระอาทิตย์ - NOUN),right,4,4
(ใช้ - VERB),(เวลา - NOUN),left,1,4
(น่าตื่นตาตื่นใจ - VERB),(เวลา - NOUN),left,2,3
(ตก - VERB),(เวลา - NOUN),left,4,1
(เดิน - VERB),(เวลา - NOUN),right,1,6
(สวยงาม - ADJ),(นาที - NOUN),right,4,4
(สวยงาม - ADJ),(เส้นทาง - NOUN),right,2,4
(ไป - VERB),(เส้นทาง - NOUN),right,4,6
(ดี - ADJ),(บริเวณ - NOUN),left,3,2
(ดี - ADJ),(ร้านอาหาร - NOUN),right,2,2
(สงบ - VERB),(พรหม - NOUN),right,3,4
(สงบ - VERB),(แหลม - NOUN),right,4,4
(สงบ - VERB),(เทพ - NOUN),right,2,4
(สงบ - VERB),(สวยงาม - NOUN),left,2,4
(ตก - VERB),(พระอาทิตย์ - NOUN),right,1,11
(ตก - VERB),(ชม - NOUN),right,2,11
(นั่ง - VERB),(เวลา - NOUN),left,3,2
(สามารถ - VERB),(เวลา - NOUN),left,4,1
(สามารถ - VERB),(คุณ - NOUN),right,1,1
(นั่ง - VERB),(คุณ - NOUN),right,2,2
(ตก - VERB),(ชั่วโมง - NOUN),right,4,11
(นั่ง - VERB),(ที่นี่ - NOUN),left,1,2
(สามารถ - VERB),(ที่นี่ - NOUN),left,2,1
(เห็น - VERB),(พระอาทิตย์ - NOUN),left,1,2
(สามารถ - VERB),(พระอาทิตย์ - NOUN),left,2,1
(ตกดิน - VERB),(พระอาทิตย์ - NOUN),right,1,4
(สามารถ - VERB),(คุณ - NOUN),right,1,1
(เห็น - VERB),(คุณ - NOUN),right,2,2
(ตกดิน - VERB),(คุณ - NOUN),right,4,4
(จะ - VERB),(สถานที่ - NOUN),right,2,2
(ต้อง - VERB),(สถานที่ - NOUN),right,3,3
(เยี่ยม - VERB),(สถานที่ - NOUN),right,4,4
(เยี่ยม - VERB),(ชม - NOUN),left,1,4
(ต้อง - VERB),(ชม - NOUN),left,2,3
(จะ - VERB),(ชม - NOUN),left,3,2
(อยู่ - VERB),(ชม - NOUN),right,2,7
(อยู่ - VERB),(ภูเก็ต - NOUN),left,2,7
(ชม - VERB),(จุด - NOUN),right,1,3
(วิว - VERB),(จุด - NOUN),right,2,4
(สวย - VERB),(จุด - NOUN),right,4,6
(สวย - VERB),(ภูเก็ต - NOUN),left,4,6
(สวย - VERB),(จังหวัด - NOUN),left,3,6
(ให้ - VERB),(ภูเก็ต - NOUN),right,1,9
(น่าทึ่ง - ADJ),(ภูเก็ต - NOUN),right,4,12
(น่าทึ่ง - ADJ),(เกาะ - NOUN),left,2,12
(เล็ก - ADJ),(เกาะ - NOUN),right,1,15
(ปลาย - VERB),(ใต้ - NOUN),left,3,3
